Long,GEOID,FIPS,County,Primary Census Tract,Prostate__Observed,Prostate__Expected,Prostate_SIR,Prostate_Crude,Signif
1400000US36005009200,36005009200,36005,Bronx,92,10,14.1,0.709219858,3.87897595,N
1400000US36047057100,36047057100,36047,Kings,571,10,14.1,0.709219858,5.599104143,N
1400000US36061021400,36061021400,36061,New York,214,9,12.7,0.708661417,7.594936709,N
1400000US36047007700,36047007700,36047,Kings,77,8,11.3,0.707964602,3.638017281,N
1400000US36047035200,36047035200,36047,Kings,352,8,11.3,0.707964602,17.66004415,N
1400000US36085027706,36085027706,36085,Richmond,277.06,8,11.3,0.707964602,3.475238923,N
1400000US36047000301,36047000301,36047,Kings,3.01,14,19.8,0.707070707,6.746987952,N
1400000US36047066000,36047066000,36047,Kings,660,6,8.5,0.705882353,5.842259007,N
1400000US36061012100,36061012100,36061,New York,121,29,41.1,0.705596107,6.345733042,Y
1400000US36005030000,36005030000,36005,Bronx,300,17,24.1,0.705394191,6.213450292,N
1400000US36081026902,36081026902,36081,Queens,269.02,10,14.2,0.704225352,4.755111745,N
1400000US36047030600,36047030600,36047,Kings,306,5,7.1,0.704225352,5.081300813,N
1400000US36081045000,36081045000,36081,Queens,450,5,7.1,0.704225352,5.144032922,N
1400000US36081119900,36081119900,36081,Queens,1199,5,7.1,0.704225352,6.009615385,N
1400000US36061007900,36061007900,36061,New York,79,14,19.9,0.703517588,6.360745116,N
1400000US36061018600,36061018600,36061,New York,186,9,12.8,0.703125,2.989040186,N
1400000US36061006600,36061006600,36061,New York,66,25,35.6,0.702247191,4.473872584,N
1400000US36047005300,36047005300,36047,Kings,53,4,5.7,0.701754386,2.934702861,N
1400000US36081071701,36081071701,36081,Queens,717.01,18,25.7,0.700389105,7.092198582,N
1400000US36081011100,36081011100,36081,Queens,111,7,10,0.7,4.189108318,N
1400000US36081143500,36081143500,36081,Queens,1435,7,10,0.7,6.610009443,N
1400000US36081016900,36081016900,36081,Queens,169,13,18.6,0.698924731,4.935459377,N
1400000US36081068700,36081068700,36081,Queens,687,13,18.6,0.698924731,6.134969325,N
1400000US36047075800,36047075800,36047,Kings,758,6,8.6,0.697674419,6.172839506,N
1400000US36081073700,36081073700,36081,Queens,737,6,8.6,0.697674419,8.333333333,N
1400000US36081014100,36081014100,36081,Queens,141,3,4.3,0.697674419,3.089598352,N
1400000US36081045200,36081045200,36081,Queens,452,3,4.3,0.697674419,7.978723404,N
1400000US36081006300,36081006300,36081,Queens,63,11,15.8,0.696202532,3.886925795,N
1400000US36061006100,36061006100,36061,New York,61,10,14.4,0.694444444,4.280821918,N
1400000US36061001001,36061001001,36061,New York,10.01,5,7.2,0.694444444,6.451612903,N
1400000US36081048100,36081048100,36081,Queens,481,16,23.1,0.692640693,4.845548153,N
1400000US36081085700,36081085700,36081,Queens,857,16,23.1,0.692640693,5.82029829,N
1400000US36061015001,36061015001,36061,New York,150.01,9,13,0.692307692,9.708737864,N
1400000US36081089200,36081089200,36081,Queens,892,30,43.4,0.69124424,7.944915254,Y
1400000US36061016300,36061016300,36061,New York,163,21,30.4,0.690789474,6.117098747,N
1400000US36061006700,36061006700,36061,New York,67,12,17.4,0.689655172,5.415162455,N
1400000US36081010600,36081010600,36081,Queens,106,8,11.6,0.689655172,4.62962963,N
1400000US36047013300,36047013300,36047,Kings,133,6,8.7,0.689655172,2.582866982,N
1400000US36047005900,36047005900,36047,Kings,59,2,2.9,0.689655172,2.805049088,N
1400000US36081077902,36081077902,36081,Queens,779.02,13,18.9,0.687830688,4.829123328,N
1400000US36047009600,36047009600,36047,Kings,96,9,13.1,0.687022901,2.934463645,N
1400000US36081035700,36081035700,36081,Queens,357,14,20.4,0.68627451,6.337709371,N
1400000US36047058600,36047058600,36047,Kings,586,7,10.2,0.68627451,5.083514887,N
1400000US36081014202,36081014202,36081,Queens,142.02,7,10.2,0.68627451,5.319148936,N
1400000US36081018502,36081018502,36081,Queens,185.02,7,10.2,0.68627451,3.979533826,N
1400000US36081157903,36081157903,36081,Queens,1579.03,12,17.5,0.685714286,6.745362563,N
1400000US36085013400,36085013400,36085,Richmond,134,12,17.5,0.685714286,4.423147807,N
1400000US36081085500,36081085500,36081,Queens,855,17,24.8,0.685483871,6.181818182,N
1400000US36081011200,36081011200,36081,Queens,112,5,7.3,0.684931507,4.901960784,N
1400000US36081012602,36081012602,36081,Queens,126.02,5,7.3,0.684931507,4.111842105,N
1400000US36005022300,36005022300,36005,Bronx,223,8,11.7,0.683760684,3.118908382,N
1400000US36047008200,36047008200,36047,Kings,82,8,11.7,0.683760684,3.877847794,N
1400000US36081047300,36081047300,36081,Queens,473,11,16.1,0.683229814,6.690997567,N
1400000US36081129103,36081129103,36081,Queens,1291.03,14,20.5,0.682926829,7.08143652,N
1400000US36005033000,36005033000,36005,Bronx,330,12,17.6,0.681818182,3.951267698,N
1400000US36061019600,36061019600,36061,New York,196,12,17.6,0.681818182,5.69259962,N
1400000US36047010200,36047010200,36047,Kings,102,9,13.2,0.681818182,3.4416826,N
1400000US36047011600,36047011600,36047,Kings,116,9,13.2,0.681818182,4.253308129,N
1400000US36047025400,36047025400,36047,Kings,254,9,13.2,0.681818182,4.573170732,N
